,WineName,Type,Elaborate,Body,Acidity,Code,Country,RegionName,WineryName,PC1,PC2,PC3,PC4,PC5,PC8,PC9,PC12,PC25,PC30,PC31,PC37,PC39,PC41,PC55,PC61
17,Chablis 1er Cru 'Montmains',5,7,5,0,15,6,14,76,-1.0419272247364806,0.25713564222998053,0.6296676978763949,0.6872023415372813,-0.5486724023735807,-0.14976137096087194,-0.13945164698036214,0.49310688094983807,0.018001100609943498,-1.1228994378959758,-0.8110334074886272,0.09366874844472567,-0.21550128756527592,-0.3489445401004979,-0.8786292934686405,0.46971275042501254
18,Château Chemin Royal Moulis-en-Médoc,2,1,0,0,7,6,44,76,-0.10181177327701688,-0.7949876597680172,-0.5345555118221264,-1.61235564085731,0.3200127360515046,0.15852368687632107,0.8254001088725497,1.128110020475261,0.4550252290822061,0.44307838235337627,-0.5630780896323719,0.028815030749274374,-0.48342490186714115,-0.6234720155343834,-0.0966440947203982,-0.2489261284375021
19,Cinsault-Grenache Rosé,3,0,2,0,7,6,71,46,-0.9051972788556798,-0.11015673559599483,-0.014245035029095611,0.9698964185012332,-0.061225403705903854,0.28928526183016495,-1.2646587677622667,0.9153271567680813,-1.3142359684996647,-2.178532534360002,0.26724614671523583,1.1826188597379443,0.018077422497107254,-1.3147275588698664,1.4025730193909196,-0.3980104204122654
20,Coteaux d'Aix-en-Provence Rosé,3,4,5,2,7,6,55,56,0.7786643290334199,4.986625511343074,1.3583432355191416,0.9297851335343257,-5.583499223456428,0.6549242594201402,-0.8515299329498066,4.872366753684891,2.630617652105183,0.7556755903910043,-1.0499736418004602,2.0335534492024046,-0.20751476770720265,-0.07548805636868623,-0.14013839423572344,0.08602187796133567
21,Coyam,2,0,0,0,15,5,18,34,21.64048061162871,2.692519081391775,1.507761728855234,1.7576892937869515,-0.5949992808095048,-0.059625070937182556,0.24712906026908635,0.21398282313422062,-0.24234233974594357,-0.24527985253265647,0.12911799462091247,0.025393634464892196,0.12178520451404382,0.13295945728916717,0.11925867096390175,0.028397983856901374
22,Coyote Canyon Reserve Syrah,2,7,0,2,13,15,28,76,0.4477639487874086,-1.618135845159759,-1.140399727874051,-1.5339106987644995,0.9859207768863424,0.21569440136678072,0.44880526448586583,-0.2294156032121129,0.0747088268394409,0.4132085381357188,0.38208629116064974,0.23686022465758008,0.20871444545379633,0.21907021850063757,0.1908223405912241,6.881869843213128
23,Cuvée Alexander Rose de Pinot Extra Brut,4,9,2,0,12,12,66,3,-1.506928961934841,3.042336828770817,0.14800917414337617,0.09569666996960188,-2.4902187835981273,-0.5688324017536223,-2.482361246472911,-0.6160495092672522,0.8566964001887463,1.4982184770799865,-1.306284063854481,-1.2178604893439204,-0.3721755216002699,-0.8620435243320287,0.12509679805458498,0.04214046074021172
24,Dona Antonia Porto Reserva Tawny,1,9,3,0,15,11,54,63,-0.9555212742556167,-2.070815619342972,0.649497444038102,6.111580231987222,1.0843586433123957,0.5454787842306343,-0.3128659560043546,-1.1203796199094829,0.15290786050887167,-0.07191586106365523,0.7791746843925467,0.7743640243472708,-4.99124752528566,-2.8659528997218207,0.9832824168015347,-0.0016767739399872143
25,Dry Creek Valley Zinfandel,0,9,5,2,15,15,22,25,0.17000059111125904,-1.3703683110812874,-0.9274978947664269,-1.075026732290669,0.7644812045457843,0.20720388703688278,0.1645009643145732,-0.1525138903775863,0.1273110495868823,-0.10792808906873613,0.22414237974092688,0.5217604295962814,0.10391320613388255,0.40165093071053265,0.021364074016873753,-1.903014732886363
26,Dulcis Moscato d'Asti,0,7,1,2,9,9,42,76,-0.7356865626655184,-0.05761467888572731,-0.03174699091399251,0.3484529279904512,-0.26933594198484223,-0.03990758013736848,-0.6319740102634779,-0.003295949809806642,0.44561139368673175,-1.0661373124306215,-1.9639697036421246,-0.07634836462340236,0.6112351017051793,-0.6701255406274395,2.215557785247833,2.519362429252338
27,El Espiritu de Cachapoal Brut,4,7,5,0,15,5,12,20,-1.2199319609002468,1.1018429747178853,1.2377451031294175,-0.24559575655034868,-2.2310625215098554,-0.381661118501061,0.03136790704714849,-4.165169758875228,-2.3767884740635217,4.64597514867815,-4.480572911203924,-0.13437792537714555,-0.2568426202739259,-0.32503130154407,1.8952294970903294,-0.46590419717519566
28,Estate Pinot Noir,2,7,2,2,13,15,75,42,0.263680331090577,-2.009808377854363,-1.2579303194169893,-1.468077917558978,1.054977752086028,-0.1501693105552789,0.7018053657826101,-1.3326862636947474,-0.09273868531344918,0.6711716607985261,0.9358174947231765,-0.11726466190646871,-0.2836758653978228,0.009496186858658077,0.27601764532002815,0.0746943728476607
29,Extra Brut Cuvée Spéciale Baron B,4,0,2,2,0,0,38,10,-1.2849996857395938,0.3094206194469249,1.6069965544654736,1.4167121229560935,-2.630371094856993,-4.627992154718946,3.2200973247369564,2.431178316838771,-1.0007838047008777,2.0718742404070416,-1.870720814300855,0.9029526164786965,-0.34078875865174374,-0.23289285587293249,0.19478757918693207,-0.07048126414231556
30,Felix Lemberger Trocken,2,7,2,0,5,7,76,74,-0.024941877174178676,-1.0447194399442645,-0.8873232601351185,-1.9931521617100085,0.7042703871633161,0.36666335095818875,0.40709136871674634,0.6710180460303352,0.09365445569202087,-0.004481187474690544,-0.4578031982850965,8.538445986192366,1.4313071809927476,-2.4055850171162727,0.32430766387970966,0.39428975782518255
31,Fiano del Salento,5,7,5,0,9,9,58,57,-1.517868645566552,5.800903730726095,-0.344108535908207,0.2660992696457222,-2.529962286066955,3.1263961910658935,0.8094365268832949,0.7360086697156148,2.158920388079513,-0.6759113650745098,-0.59782261017532,1.3576765044274077,-0.9230148486954702,-1.7020243971248388,1.0775277134688483,0.09397785054927783
32,Fine Ruby Port,1,9,3,2,15,11,54,69,-1.1026065299529413,-2.5173883609207497,0.4700812453540836,7.4163900124996065,1.49861788324225,2.2525857259920055,-3.9231250332859715,-1.1096771306065574,0.15023191394578597,2.0309577712873974,-0.026633643418711054,-0.12847187711304708,1.3913536763113574,0.6544071074425595,-1.3974725874866567,-0.014357768644818726
33,Fino Eléctrico 3 Fases,0,7,0,2,6,14,40,76,-0.6538779374322694,-0.23945505659559432,0.05915316735288343,0.7044815257022214,0.10534711364827402,0.15188281664659198,-0.806733078326104,0.06480181452173726,-0.15674780233085592,-1.1635927902471348,-0.8305758960472668,0.5050283601479594,0.06342506126335004,-0.07550346093340901,-2.9777780651967043,-0.2750145784486093
34,Fior di Vigna Dolce Rosso,0,7,0,1,15,9,31,73,-1.1019744501363917,0.47943678017419755,0.40932554816819877,0.19313746227163014,-0.4668777991027616,0.14167123229930764,-0.42254227948745376,0.9472930548910135,-0.023170108448452395,-1.7999944566517319,-1.7023121979026545,0.5892980310637196,0.250627051180364,-0.4782929893246939,-2.5801301374988315,-1.7034154699848199
35,Fleurie La Madone,2,7,1,0,7,6,24,0,-0.4222148944813755,-0.6887699053757745,-0.9059126733177992,-2.1993831144242786,0.15917606504847576,0.7284250759875195,0.9165372299005187,-0.8411845157908995,-1.5440407846013497,0.06088899487998866,-3.833038726112719,3.8354324899871064,0.08211720604115888,1.1406062502348233,0.3275867658606336,0.22136659402445394
36,Gabbiano Pinot Grigio,5,9,5,2,15,9,20,17,-1.6992290076885885,3.6650488728217057,0.9658000990922834,-0.6179692303786702,-4.779803192744099,2.4693485556037635,-2.0111806576500326,4.083162494059926,3.1601468085861737,1.814968019481682,-0.8095807710640148,0.5135498729277597,0.021734293704562358,0.3186895256981515,-0.32917289662283494,-0.004297983607352671
37,Gran Malbec,2,7,5,2,0,0,34,26,0.2624553296765236,-1.6022694855813784,-1.0001770213590522,-0.8344665036487569,0.8244094465556856,0.07563037145857042,0.18590582137770045,-0.36622047980037326,0.2914352855495082,-0.22538549245787334,0.3328955537937928,-0.5445417367525454,0.04766718491155993,1.6148453535185028,0.17381988943189644,0.1765665417852187
38,Haven Pinot Noir,2,7,2,2,1,1,41,45,0.28935242729008986,-1.8165259522069064,-1.3482973580388025,-1.7634875317718268,1.0628516129769177,-0.025534454916485243,0.5403244720623037,-1.242867129435805,-0.027978835383709953,0.8719661714774422,0.7969677448347913,0.25015446076840764,-0.07541879943508743,-0.07042321534279564,0.39078259119944814,0.052907229661512636
39,Kallisto,5,0,5,0,8,8,29,53,-1.3478789487150205,3.0362359056951003,2.5236366224487763,-0.19287358052761353,1.9936747523893625,-2.4216056173476552,-1.0511230670589229,0.6705237284615772,-3.710259233192253,6.856986956029308,2.6768564690520065,-1.2739605134156775,-0.1711055819475536,0.04785244228860564,0.04603584498024919,-0.2903021713748509
40,Kormilitsa Red,2,0,0,2,8,8,15,72,-0.6981267594553964,-0.33731728107603753,0.26048643021580015,0.44388926542264223,-0.01843795254199208,0.5237565582733021,-0.6542148199281729,0.7540440426923987,0.29721425792973977,-2.4701948742364728,-1.6106542595883067,0.4211219547255398,-0.8331782262809896,-1.2928952996961556,-0.9809053338960438,0.7588075630779447
41,La Primavera in Rosa Rosé Italia,3,0,2,2,9,9,73,40,-2.0097968574569993,3.4551650618921084,5.088912977022841,-3.924753826109241,-3.96534622342318,11.89283413186824,6.02791022738344,-4.471551449198365,-2.5595118556894794,0.2507580240908428,1.2055687046240593,-1.4840642729434563,0.09428990785249486,-0.21512547512358152,0.45746268047958033,-0.13946371075148664
42,La Tinaja de Aranzazu,5,7,2,2,6,14,57,60,-1.3155617761636909,4.869150366666899,-1.4097026199638931,-0.6559817362774771,-1.4612873610430726,-0.09747177368983231,-2.3121976111179707,0.5038524446768277,1.2546232512993687,0.626788804609063,1.3432577539017978,-0.24070441109476545,0.563047669924149,0.21860661157444125,-0.2996397095693957,0.26671788022884374
43,Lacrau Colheita Field Blend,2,3,0,2,15,11,21,76,-0.3157002272868098,-1.6860257811014419,-0.7762358111600624,-0.44930068733377887,0.7106601494746829,7.294572173143753,-4.369808228995568,8.939917038410933,0.74355018173863,-0.051829146505733455,0.8842492541797721,-0.21852902045750078,-0.670377146146665,0.24762114184573442,-0.05781891028414287,0.09221066130707448
44,Langhe Chardonnay,5,7,2,2,9,9,31,59,0.08796483597012857,1.0927905709237182,0.4206853088450755,-0.4744233323260923,-1.1548074713568626,-1.3780485284089576,-1.2455525126263123,-0.256208425310082,-0.17069410147377445,0.9232953363675795,0.7658397164483138,-0.41603054547407897,-0.0012744750354139903,-0.32098132269307184,-0.36181289466095395,1.867055022912145
45,Langhe Nebbiolo,2,9,0,0,9,9,31,15,0.21827434927677258,-1.3333903361202992,-1.010486116633064,-1.230077625863998,0.765894458510207,0.3853575323515368,0.2620798958753735,0.33201014590867006,-0.12466708014612485,-0.10514949532146978,0.12298251296499202,0.23500488627761146,-0.06345046612945589,-0.09510179413171702,-1.2011300547201171,0.6726809651333682
46,Las Mulas Reserva Sauvignon Blanc,5,7,2,0,4,5,13,54,-1.1331989520321202,1.7694437284980649,-0.38102805641511284,1.187612275391176,-0.0552798474121633,-0.14920674584637747,0.01608265816567337,1.0406854527612603,-2.4855988884494136,-0.7180997702659526,2.2305103908617614,1.8780994114509124,0.6915632043231108,0.1837374705182062,0.48451816405324777,0.07257300594694775
47,Lauréne Pinot Noir,2,7,2,0,15,15,23,28,0.4424035932769023,-1.8550643510846359,-1.4301849465272418,-2.0188780308508893,1.1374166247613695,0.018779163849080086,0.4611987090065558,-1.433459089971093,-0.0030171273601272844,1.0276453324365966,0.8079245497234799,0.32447543455733835,-0.11375921143498181,-0.0511034620215562,0.06658240708436469,0.0285753304266034
48,Les Dessous des Dentelles,2,5,5,2,7,6,27,19,-0.2751535905910959,-0.9431504770039897,-0.6224910472048866,-0.6331886250354353,0.2903192538942794,1.699172130671019,-1.4869346724861405,3.1979913189426403,-0.739974134522998,-0.7263163912085597,0.645040123738316,0.0868197934098722,-0.04066466725211656,-0.6444829821369973,1.9965092480272097,-1.271287477791781
49,Les Fuées Chambolle-Musigny 1er Cru,2,7,0,0,7,6,16,29,0.0712728471067967,-1.6527995158726305,-1.200597386210654,-1.547265253840255,0.9522658269512472,-0.07658365601146483,0.6453300322597602,-0.9309842253130385,-0.13473372348066606,0.673737244475893,0.7551583585379448,0.1644036941323345,-0.14282623534995123,-0.06582466859737988,0.368927163529387,0.050748597068210145
50,Los Cardos Malbec,2,7,5,0,0,0,38,33,-0.1709078547997556,-1.0934687497431161,-0.38593297891005196,-0.27205776935898535,0.14963970009344785,-0.43671384452538187,0.6732611322903185,0.5576863254312118,0.726118644505888,-0.8890797389568444,-0.0103702763186384,-2.250320026726205,-0.18169679186614807,3.498709040048263,0.006126511565098007,-0.08794845043330415
51,Lou Mansengou,0,7,2,0,15,6,30,30,-1.2780737122763308,1.7351195271182445,1.2303992335272416,0.9046709014382,-2.5690640720316913,-1.8001059220445004,1.4478309323097407,0.5314980000870186,3.452944909793248,0.6585733971145695,-3.520389023327663,-3.330302441847803,-0.39259702841407146,-2.5936012514283293,-0.7405250347288163,-1.7255240607528395
52,Manzoni Moscato Spumante,4,9,1,0,9,9,69,7,-0.9595880388114106,2.5458253796460952,-0.2755339428379207,-0.3387053666917334,-1.1777094320295685,-2.059306599484035,-5.798945246697255,-4.977050887193421,1.0608392694969253,-4.530990710537624,-1.3507968186772537,-0.6279170133781303,-0.6183215070230598,-0.44095777229166044,0.16968044236765936,-0.25614575765491193
53,Marc d'Alsace Riesling,0,9,2,2,7,6,1,76,-1.2615455139805405,1.1510463751706006,2.179183292432607,1.3516317373340994,-2.0470818753256443,-1.5424130475417694,2.2405440543551185,4.941780643483095,-2.563646141817551,-0.4671087151210426,4.52653838200453,-1.3407890174013557,0.32364502482042024,0.2801925098078708,1.0113084437654125,-0.5625592870365722
54,Maria Izabel Rosé,3,0,2,0,11,11,21,64,2.3200178791631494,0.1654962614318675,0.5883928162551234,0.16980592372100467,0.48379016082775134,0.3204504568832336,-4.30638656552487,-2.1871914414417057,-0.11473318340567888,-2.0728072668904054,0.8329913580419819,-1.5409955429146804,-1.8609941077461027,-0.5152248200293333,-1.1817848973581833,0.13553636611798875
55,Maré Alta,5,0,4,0,11,11,72,76,-1.7498029633504601,9.611985955057314,-0.5228950705992469,-1.6477008394011827,-5.204538171525136,5.738775000554061,0.8828871457642825,-5.710679515664896,0.5969708194720559,0.7599435796538129,1.2955686343971735,-1.5797184223466811,0.2399487328374717,0.7947673376365689,-0.24279154860018626,0.05758929559723761
56,Merlot Reserve Trocken,2,7,5,2,5,7,76,76,-0.3628201083126226,-0.5105833494019775,-0.208674844277265,-1.9495042366631659,-0.2444652658710732,0.26629276513511785,1.5529092778070055,0.005271332678752035,-1.9221432445490845,0.11984421636864963,-1.8200537106027406,1.1420094553420939,0.443833798882644,0.08655634476553624,0.4573978494056569,0.32175472626032975
57,Meursault 1er Cru 'La Pièce Sous Le Bois',5,9,0,2,7,6,39,27,-1.0688139938504027,1.5986975770164311,0.25992278664827817,-0.3117548821676876,-2.185981904198276,-1.7316029326218132,0.061924108004101204,-0.3064351232942197,-2.5720916225656034,0.6893371407827293,-2.1916850783389843,-0.98939467884762,-0.27004073849698895,-0.3341453708929441,-0.25214127964554395,0.5302214264527564
58,Müller Thurgau Alto Adige,5,9,2,2,9,9,65,43,-1.2385395848737857,1.6073612209707426,0.7519384767907127,0.8246207924582578,-2.369294065140744,-1.2616567505758967,-0.6063099863490569,-3.670240121613268,3.142654919537682,-1.0833908312106602,3.6473764587271,3.1048657458055264,0.556146464535568,0.7299016419829436,2.898051310473402,-1.18813687265971
59,Narin Barbaresco,2,7,0,0,9,9,6,12,-0.47733858758590453,-0.3527828511335925,-0.13215180811006197,0.1471508804102845,0.18492133638542244,0.426852358589262,-0.7289051457119186,0.27315984075320154,-0.0842831000937748,-0.8036100663785518,-0.5807277894073518,0.5176350825304302,-0.07959985336154797,-0.2758039758278608,-1.8740285637411913,0.3479661774751663
60,Nicolon Barbera d'Alba,2,9,2,0,9,9,7,76,0.6546514256018725,-1.0255417192168719,-1.1775783554507315,-1.3353043798507547,0.6952453888321393,-1.1831340001894737,0.5144425216803774,-0.9890044688072652,-0.5607289483499388,1.38533716233908,-1.6978991263023515,-0.2618419193597183,-0.7718114936718073,-0.4418867825891994,-1.0746764378913691,-0.2123578974442063
61,Nuits-St-Georges Les Plateaux,2,9,2,0,7,6,50,55,0.11017370028018138,-1.7233057522501507,-1.1940663937581244,-1.5774097025557006,0.958007777080512,-0.07994845198842074,0.688931500461229,-0.9706378834579071,-0.09385861214872393,0.6681726393305009,0.784737204229142,0.11807405115313697,-0.1553835327436723,-0.06084092205827923,0.44387739916598523,0.04039298804269385
62,Old Vine Zinfandel,2,7,5,2,13,15,33,50,-0.4924568164733776,-1.1933929164034198,-0.4006151195073846,-0.1670726583300906,0.48297360828462277,1.0558631645748067,-0.8829875082998316,2.3097855811657917,0.3261056039962782,2.1727512291095246,0.9449826343380582,0.15597176031598362,0.42041919616477297,0.7742249534077406,-0.3050558092591461,-1.0020852694878508
63,Origem Merlot,2,7,0,2,2,3,68,14,0.1768836269308827,-2.0789080740668395,-1.9971139036957475,-3.2426273993749817,1.1522838723332203,-1.518342669062901,0.29150775219622654,-0.19791122592144034,-1.8409601098327992,0.319773023087433,-0.035216580461469665,-0.4117719706516424,-0.02654075809366665,-0.1670904041677621,-0.07934703424415332,-0.09509167663333802
64,Pedroni Vineyard Cabernet Franc,2,7,2,2,13,15,63,1,-0.12079679517465029,-0.8402856822146251,-0.7749780818023867,-1.791717797184286,0.2176670517406709,-0.20893569925176161,0.5634507172772255,-0.40596826310620476,-1.3176255089197306,0.9608558390550308,-2.2741193298638565,-1.3703938791536494,-0.15976594181091913,-0.13281054632358216,0.851670239659832,-0.6195253989604818
65,Pessac-Léognan,2,9,0,0,7,6,51,21,2.111630311145684,-1.6504530564018518,-1.3617295647122836,-2.048154018028493,1.061721140472336,0.5458586157719935,1.1058048648015495,0.08857824633356907,1.726417212632364,0.9187558779469615,-0.49393785205773366,1.4393434126012374,-0.07854613797711646,-0.4497821664908568,0.03543285850567302,-0.33325980969783736
66,Pinot Noir,2,7,2,0,15,15,75,44,0.04878547934034266,-1.8110116420555975,-1.2024604362494893,-1.1167538771751966,0.9694108063606732,-0.2110304119893924,0.6124721172388177,-1.264487227553311,-0.32402958860149716,0.5439213124850455,1.0787891987355025,-0.2182829693467989,-0.3480421530018852,-0.03746625408819451,0.30139260818698477,-0.22899234976771987
67,Pommard Premier Cru 'Grand Clos des Épenots',2,7,2,2,7,6,53,32,0.17765067650919666,-1.9980116556284173,-1.2124078020197908,-1.309108972667275,1.0074292406120138,-0.17536649969702575,0.7556116879582018,-1.2537293790801576,-0.1162992305283898,0.567932918238534,0.9431858704477686,-0.19076218505315373,-0.2749246629194872,0.0045782489181953046,0.4236321014840649,0.08894472474479923
68,Porto Colheita,1,2,3,2,11,11,54,65,-1.437411324411782,-1.7435045045687783,2.346319429476414,10.563485579661432,0.5648447637226857,-3.3073464258516987,12.396717120034289,0.6081247547369396,0.3594270338524717,-0.0868265205223133,0.7406429152168089,0.36598660074058836,1.856441961998669,1.254656772138487,-0.34227009963818333,0.03069696618246459
69,Premiere Napa Valley Cabernet Sauvignon,2,8,3,0,13,15,45,76,1.3316434977391716,-0.16510890681623747,0.337200756561014,0.13500745984917584,-0.04260141211681658,0.8476702713893894,-0.14816731654858364,0.7620463862775043,1.5986450369679677,-1.4534193347652684,-1.5577240374005872,0.8663409736254359,-0.4499089974190548,-0.8647556107335473,-0.4197054272676987,-0.04473238089212176
70,Primata Touriga Nacional,2,3,0,2,11,11,21,61,-1.0269849879325306,-1.3982361698237065,0.42202608652840035,5.541966049626674,1.0465867435132041,2.35736126054957,-4.706161222577919,-0.7270763263679788,0.21043934551905188,0.9543742192379939,-1.403106373877838,-0.23425677450920615,4.43874059102733,1.634321081195493,5.532458716163775,-0.07451354257255206
71,Private Reserve Riesling,5,7,1,0,3,4,48,76,-0.8995522483751043,0.1583455863524251,0.5275754084376472,0.5320253845899515,-0.44826229804416645,-0.10922519797040037,-0.025897648539889483,1.2726198865039056,-0.4494687095616302,-1.3203330870343364,0.21813394530994853,-0.3810990927025365,0.25751159053353806,-0.10370421912915179,0.043995620918645915,-0.5094065105227785
72,Pátria Alentejo Selection Reserva,2,0,0,2,11,11,0,13,0.5607713372294032,-2.5140807889253916,-2.276208849176934,-4.65216876944513,1.8417070935306792,0.8823346360405043,1.8305833874857054,-0.22025273045864643,6.4898481601246845,-1.79652542271145,4.692043701347194,-2.4751588277175367,-0.26180232361865835,-0.22151372940287328,-0.148690078375079,0.07183823402766214
73,Rare Cream Sherry Superior (Solera Reserva),1,8,0,0,15,14,19,49,1.5882295251798066,1.9655388230795567,0.14642834681888703,1.1027997367380828,-1.2672162303430663,-1.1210442294176668,-3.727673042796246,-2.490373410245835,3.3396055345090594,6.477429501654821,-2.293154684946525,1.6321797652790346,0.10978823756747906,1.9458739333888284,-0.2005958247632783,0.05178828360624371
74,Regional Tinto,2,9,0,2,11,11,32,58,0.08872138637367052,-1.131888239910057,-0.8027419241791343,-1.7675217518711974,0.5021222713673028,0.40652885018458057,0.3425058051727795,0.9683118516635565,-0.6241910228887148,-0.8029222417782659,0.11661180492149077,-0.7906261185503874,-0.025895106110742683,-0.00534805393870358,1.7381652161799366,0.7924118101614017
